Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
17789, -428, 303, 67, -1348, -308, 15460
17798, -444, 263, 42, -1100, -252, 15448
17808, -358, 228, 60, -892, -204, 14956
17818, -365, 144, 3, -812, -204, 15144
17828, -371, 102, 21, -1040, -200, 15252
17838, -371, 98, 70, -956, -256, 15216
17848, -372, 100, 67, -976, -148, 15196
17858, -349, 124, 121, -824, -188, 15188
17868, -365, 106, 122, -824, -168, 15044
17878, -378, 104, 132, -956, -72, 15192
17888, -379, 132, 138, -976, -160, 15188
17898, -342, 122, 142, -904, -248, 15208
17908, -374, 143, 130, -920, -96, 15052
17918, -352, 97, 138, -936, -192, 15268
17928, -359, 111, 126, -956, -100, 15184
17938, -352, 138, 128, -952, -244, 15156
17948, -343, 139, 131, -876, -228, 15112
17958, -362, 93, 145, -844, -236, 15152
17968, -362, 109, 159, -908, -192, 15164
17978, -372, 118, 149, -916, -216, 15188
17988, -370, 116, 146, -884, -276, 15104
17998, -382, 114, 133, -884, -260, 15296
18008, -349, 116, 129, -980, -236, 15244
18018, -362, 117, 138, -920, -208, 15224
18028, -370, 115, 131, -1000, -148, 15180
18038, -375, 130, 150, -948, -132, 15116
18048, -371, 93, 130, -912, -148, 15116
18058, -364, 126, 125, -932, -164, 15076
18068, -372, 127, 142, -788, -204, 15216
18078, -377, 111, 140, -956, -224, 14920
18088, -358, 131, 140, -880, -252, 15132
18098, -354, 90, 122, -876, -288, 15140
18108, -358, 135, 134, -960, -188, 15132
18118, -372, 108, 159, -880, -208, 15112
18128, -336, 142, 119, -888, -300, 15148
18138, -380, 97, 160, -856, -108, 15112
18148, -350, 102, 142, -948, -100, 14984
18158, -319, 106, 145, -908, -208, 15120
18168, -363, 149, 138, -856, -312, 15016
18178, -366, 160, 137, -792, -184, 15108
18188, -367, 135, 133, -980, -304, 15012
18198, -363, 140, 199, -784, -128, 15140
18208, -361, 158, 238, -884, -144, 15088
18218, -340, 112, 212, -924, -216, 15200
18228, -336, 113, 138, -940, -300, 14976
18238, -357, 81, 150, -1064, -256, 14976
18248, -337, 131, 148, -852, -84, 15172
18258, -347, 197, 185, -672, 28, 14936
18268, -362, 252, 103, -816, 12, 15304
18278, -374, 206, 70, -884, 200, 15144
18288, -321, 201, 54, -744, -56, 14960
18298, -341, 177, 102, -860, -288, 15256
18308, -365, 90, 87, -964, -440, 15164
18318, -347, 118, 0, -1088, -856, 15104
18328, -368, 130, -43, -1024, -364, 15168
18338, -344, 218, -177, -816, -388, 15032
18348, -333, 244, -98, -824, -168, 14988
18358, -328, 214, -87, -1028, -276, 15100
18368, -346, 209, -27, -760, -16, 15032
18378, -347, 165, -13, -924, -244, 15192
18388, -337, 182, -24, -956, -160, 15204
18398, -347, 116, 54, -840, -92, 15320
18408, -352, 159, 76, -948, -76, 15140
18418, -357, 182, 125, -812, -168, 15064
18428, -346, 296, 103, -844, -276, 15204
18438, -390, 690, 198, -328, -176, 15440
18448, -364, 562, 207, -600, -332, 15020
18458, -342, 352, 104, -1088, -308, 15068
18468, -354, 185, 102, -1000, -168, 15064
18478, -351, 199, 119, -840, -128, 15108
18488, -358, 110, 128, -916, 20, 15024
18498, -346, 235, 189, -772, 4, 15148
18508, -386, 572, 215, -676, -236, 15196
18518, -392, 441, 252, -900, -196, 15156
18528, -411, 431, 330, -800, -128, 15144
18538, -434, 120, 261, -1288, -156, 15068
18548, -430, -125, 137, -1476, -428, 15028
18558, -435, -487, -42, -956, -124, 14876
18568, -427, -216, -59, -912, -112, 15308
18578, -602, -385, 17, -460, -244, 15208
18588, -816, -159, 225, 20, -152, 15708
18598, -945, -79, 239, -1088, -288, 15296
18608, -1109, -703, 170, -1300, -280, 15220
18618, -1146, -622, 189, -500, -272, 15188
18628, -1111, -1019, 187, -1144, -488, 15144
18638, -1157, -1044, 270, -572, -284, 15232
18648, -1231, -853, 407, -468, -56, 15416
18658, -1331, -966, 610, -860, -136, 15436
18668, -1589, -1249, 725, -900, 40, 16140
18678, -1672, -2691, 760, -1884, -424, 16124
18688, -1753, -3809, 937, -1592, -140, 15720
18698, -1655, -4510, 1043, -1236, -644, 15556
18708, -1409, -4779, 973, -720, -464, 15164
18718, -1409, -4540, 866, -76, -108, 15052
18728, -1445, -4098, 913, 112, 113, -258
18738, -1406, -4127, 970, -24, -140, 14700
18748, -1176, -4511, 924, 140, -444, 15068
18758, -737, -4702, 1040, 32, -460, 15360
18768, -429, -5123, 1262, -412, -252, 15256
18778, -361, -5083, 1278, 340, -652, 15188
18788, -354, -4753, 1032, 588, -856, 14948
18798, -342, -3773, 780, 780, -860, 14700
18808, -442, -2952, 684, 856, -736, 14424
18818, -448, -2753, 501, 700, -916, 14636
18828, -399, -2197, 384, 912, -572, 14720
18838, -312, -1416, 355, 832, -652, 14832
18848, -198, -652, 316, 712, -500, 15088
18858, -154, -125, 336, 844, -544, 14968
18868, -149, 674, 360, 804, -440, 15024
18878, -134, 1563, 385, 792, -712, 15124
18888, -62, 2122, 514, 668, -604, 15284
18898, -152, 1769, 498, 108, -760, 15588
18908, -283, 1119, 363, 148, -900, 15476
18918, -96, 994, 353, 260, -1160, 15320
18928, 242, 1550, 308, 452, -1064, 15248
18938, 715, 2017, 294, 520, -696, 15280
18948, 1024, 2051, 308, 580, -400, 15124
18958, 1051, 1720, 363, 596, -120, 14988
18968, 623, 1016, 305, 560, -216, 14988
18978, 128, 784, 238, 744, 4, 14988
18988, -130, 646, 293, 364, -200, 15100
18998, -185, 634, 326, 352, -280, 15168
19008, -17, 868, 427, 276, -380, 15096
19018, 95, 815, 451, 180, -340, 15280
19028, 216, 1005, 468, 444, -176, 15164
19038, 364, 1169, 589, 488, -44, 15032
19048, 430, 1005, 565, 420, -88, 15312
19058, 465, 1091, 608, 336, -204, 15008
19068, 530, 1440, 635, 468, -156, 15072
19078, 466, 1550, 684, 160, -276, 14948
19088, 209, 1535, 670, 140, -312, 15040
19098, -53, 1369, 564, 140, -292, 14948
19108, -199, 1229, 437, 84, -220, 15384
19118, -126, 983, 365, -160, -456, 15504
19128, -37, 868, 225, -52, -636, 15604
19138, 36, 863, 133, -120, -476, 15816
19148, 120, 873, 128, -112, -284, 15472
19158, 228, 805, 188, -176, -236, 15456
19168, 315, 817, 227, 96, -36, 15216
19178, 362, 620, 250, -160, -132, 15032
19188, 252, 639, 312, 196, 80, 14564
19198, 73, 621, 287, 164, 48, 14668
19208, -119, 717, 312, 172, -4, 14740
19218, -248, 687, 277, -92, -68, 15088
19228, -270, 526, 219, -164, -192, 15504
19238, -162, 484, 266, -196, -248, 15576
19248, 43, 512, 338, -244, -64, 15304
19258, 174, 491, 349, -152, -304, 15228
19268, 280, 407, 348, -240, -172, 15092
19278, 288, 377, 332, -84, 92, 15224
19288, 208, 337, 319, -220, -188, 15356
19298, 154, 284, 262, -196, -168, 15052
19308, 70, 216, 263, -232, -160, 14912
19318, -14, 122, 219, -108, -64, 14744
19328, -74, 185, 215, 44, -184, 14656
19338, -125, 405, 208, -112, -140, 14768
19348, -172, 515, 127, -152, -88, 15196
19358, -117, 566, 127, -252, -76, 15520
19368, -15, 588, 200, -100, -24, 15348
19378, 72, 442, 252, -96, 148, 15620
19388, 22, 221, 240, -260, 80, 15712
19398, 92, 195, 265, -156, -20, 15400
19408, 252, 258, 242, -64, 0, 15208
19418, 361, 596, 262, -108, -148, 14848
19428, 355, 754, 212, -80, -20, 14916
19438, 165, 631, 145, -204, 212, 15416
19448, 94, 470, 157, -328, 100, 15472
19458, 167, 457, 175, -304, -40, 15216
19468, 244, 556, 197, -124, -20, 15056
19478, 131, 530, 151, -184, 120, 14776
19488, 28, 528, 132, -184, 128, 14824
19498, -81, 464, 107, -132, 208, 15004
19508, -45, 506, 64, -252, 92, 15312
19518, 21, 602, 85, -44, 240, 15324
19528, 64, 686, 120, -136, 352, 15360
19538, 111, 436, 136, -340, 260, 15520
19548, 236, 449, 182, -332, -40, 15484
19558, 403, 536, 179, -460, -72, 15484
19568, 474, 346, 135, -468, 56, 15592
19578, 458, 307, 187, -464, 180, 15184
19588, 334, 166, 218, -348, 332, 15148
19598, 172, 23, 253, -284, 376, 14936
19608, 36, -66, 223, -252, 248, 14892
19618, -105, 2, 185, -104, 356, 15228
19628, -217, 214, 179, -372, 360, 15564
19638, -116, 563, 209, -424, 272, 15912
19648, 114, 1216, 235, -388, 52, 16000
19658, 384, 2019, 241, -316, -80, 15580
19668, 535, 2049, 130, -544, -68, 15204
19678, 710, 1845, 178, -340, 344, 14868
19688, 770, 1472, 259, -388, 552, 14876
19698, 630, 866, 342, -384, 780, 14712
19708, 406, 537, 418, -452, 932, 14912
19718, 175, -99, 402, -512, 516, 15348
19728, 86, 45, 352, -560, 416, 15664
19738, 272, 132, 328, -736, 400, 15712
19748, 582, -52, 343, -716, 456, 15920
19758, 748, 121, 472, -664, 724, 15880
19768, 650, 567, 590, -560, 696, 16032
19778, 494, 1332, 620, -688, 368, 16224
19788, 562, 2449, 548, -684, 72, 16936
19798, 945, 3709, 474, -952, 28, 17420
19808, 1410, 4595, 357, -988, 164, 17236
19818, 1641, 4775, 357, -1000, 688, 16052
19828, 1425, 4984, 321, -676, 572, 15248
19838, 698, 5397, 176, -772, 796, 14564
19848, -115, 5832, 69, -872, 728, 14408
19858, -718, 5943, -12, -1224, 720, 14416
19868, -1157, 5779, -61, -1624, 700, 14536
19878, -1359, 5512, -44, -1520, 528, 14408
19888, -1202, 4960, 105, -1820, 580, 14840
19898, -1180, 5087, 151, -1784, 424, 14868
19908, -850, 5309, 50, -1556, 720, 14544
19918, -638, 5284, 151, -1916, 528, 14684
19928, -530, 5005, 109, -1728, 744, 14544
19938, -439, 4273, 90, -1708, 940, 14468
19948, -494, 3924, 296, -2272, 880, 14088
19958, -452, 2816, 291, -1848, 1092, 14476
19968, -557, 2535, 402, -2124, 1076, 14208
19978, -968, 2283, 489, -2232, 1016, 14184
19988, -1313, 2300, 413, -2116, 812, 14308
19998, -1582, 2460, 237, -1860, 804, 14400
20008, -1804, 2533, 140, -2000, 708, 13552
20018, -2069, 2444, 126, -2312, 540, 13684
20028, -2412, 2091, 120, -2364, 676, 14044
20038, -2598, 1559, 146, -2220, 880, 14196
20048, -2662, 1188, 340, -2476, 924, 14296
20058, -2416, 284, 441, -2620, 472, 14596
20068, -2122, 242, 547, -2772, 16, 14840
20078, -1744, 536, 539, -2680, -108, 14768
20088, -1385, 849, 500, -2876, -204, 14596
20098, -1112, 910, 510, -2812, -104, 14428
20108, -1030, 808, 500, -2640, 180, 14328
20118, -1092, 643, 460, -2564, 268, 14216
20128, -1192, 396, 471, -2564, 324, 14092
20138, -1304, -122, 441, -2580, 380, 13768
20148, -1430, -579, 462, -2536, 160, 14288
20158, -1583, -972, 369, -2780, 60, 14644
20168, -1534, -1090, 423, -2760, -96, 15228
20178, -1505, -533, 395, -2800, -80, 15828
20188, -1672, 597, 305, -2816, -40, 15984
20198, -1912, 1492, 188, -2680, 120, 15800
20208, -2415, 1731, 17, -3096, 0, 16020
20218, -2932, 2363, -136, -3076, -112, 15668
20228, -3064, 2635, -227, -3176, -624, 15244
20238, -3133, 2671, -281, -3124, -416, 14704
20248, -3434, 2856, -383, -3152, -444, 14704
20258, -3631, 2745, -425, -3168, -624, 14448
20268, -3650, 3381, -411, -3008, -900, 14372
20278, -3547, 3945, -484, -3060, -872, 14544
20288, -3514, 3699, -567, -3264, -668, 14572
20298, -3392, 3471, -539, -3248, -568, 14284
20308, -3260, 2905, -529, -3448, -708, 14692
20318, -2995, 2131, -468, -3444, -620, 14512
20328, -2479, 1619, -278, -3384, -620, 14608
20338, -1939, 1016, -101, -3208, -648, 14572
20348, -1723, 808, 39, -3076, -520, 14980
20358, -1523, 1203, 209, -3364, -640, 15364
20368, -1163, 1941, 298, -3440, -780, 15856
20378, -628, 2804, 334, -3744, -996, 16144
20388, -210, 3390, 390, -3772, -768, 15736
20398, -174, 3583, 451, -3736, -632, 14864
20408, -408, 3223, 435, -3648, -680, 14272
20418, -845, 2363, 359, -3640, -676, 13660
20428, -1199, 1408, 277, -3692, -708, 13552
20438, -1492, 914, 287, -3772, -844, 13572
20448, -1497, 904, 282, -3748, -1116, 13864
