Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
46038, -261, -439, -200, -324, -508, 13804
46048, -404, 413, 197, 328, 92, 15200
46058, -351, 139, 100, -588, -224, 15264
46068, -321, 122, 72, -924, -248, 15172
46078, -342, 104, 83, -916, -192, 15272
46088, -322, 155, 94, -912, -248, 15372
46098, -343, 107, 114, -816, -216, 15128
46108, -364, 148, 128, -796, -244, 15128
46118, -341, 108, 141, -812, -216, 15300
46128, -343, 133, 131, -852, -132, 15320
46138, -355, 130, 115, -872, -236, 15096
46148, -360, 153, 119, -848, -228, 15088
46158, -368, 126, 110, -852, -308, 15180
46168, -352, 132, 147, -820, -40, 15132
46178, -352, 135, 99, -760, -156, 15136
46188, -309, 101, 92, -864, -184, 15080
46198, -354, 134, 99, -860, -204, 15312
46208, -345, 180, 94, -848, -152, 15004
46218, -348, 200, 40, -980, -116, 15384
46228, -328, 247, 12, -960, -272, 15136
46238, -327, 221, -55, -924, -220, 15104
46248, -311, 182, -50, -808, -92, 15204
46258, -272, 384, -28, -512, -300, 15128
46268, -330, 168, -73, -740, -156, 15208
46278, -314, 131, -97, -956, -184, 15072
46288, -324, 172, -94, -1008, -64, 15312
46298, -341, 186, -33, -944, -104, 15132
46308, -310, 141, -28, -1104, -20, 15156
46318, -309, 180, -7, -944, 52, 15188
46328, -348, 181, 81, -892, -148, 15140
46338, -323, 235, 99, -916, -128, 15112
46348, -338, 163, 99, -864, -280, 15088
46358, -343, 138, 99, -808, -188, 15344
46368, -365, 109, 111, -728, -352, 15288
46378, -366, 142, 71, -772, -384, 15272
46388, -345, 106, 39, -768, -264, 15252
46398, -319, 228, 35, -720, -352, 15040
46408, -346, 198, 19, -864, -188, 15092
46418, -315, 225, 15, -824, -240, 15132
46428, -345, 273, 40, -816, -296, 15160
46438, -348, 282, 39, -888, -268, 15124
46448, -335, 334, 55, -904, -236, 15176
46458, -349, 326, 97, -896, -232, 15124
46468, -245, 590, 97, -240, -184, 14476
46478, -320, 1142, 130, -800, -272, 15364
46488, -299, 1508, 168, -836, -512, 15308
46498, -302, 1633, 262, -964, -364, 15136
46508, -338, 1265, 353, -1224, -64, 15044
46518, -389, 554, 538, -1120, -168, 15248
46528, -375, 505, 659, -1096, -200, 15076
46538, -349, 355, 671, -1616, -60, 14816
46548, -290, 338, 647, -1140, -276, 15276
46558, -119, 632, 519, -768, -392, 15516
46568, 49, 840, 324, -664, -512, 15548
46578, 135, 1456, 328, -168, -532, 15428
46588, 234, 1449, 156, -1072, -336, 15348
46598, 259, 1323, 189, -1128, -232, 15264
46608, 249, 1141, 145, -1564, -28, 15032
46618, 282, 1002, 36, -1028, -68, 15388
46628, 273, 1088, -183, -1272, -200, 14812
46638, 297, 981, -359, -860, -236, 15020
46648, 254, 770, -520, -1280, 316, 14968
46658, 269, 558, -649, -1420, -32, 14852
46668, 346, 75, -689, -1688, 16, 15176
46678, 460, -7, -708, -1336, -116, 15204
46688, 492, -104, -718, -1392, 140, 15252
46698, 597, -251, -621, -1384, 180, 15412
46708, 710, -232, -461, -1428, 160, 15412
46718, 892, -36, -359, -1336, 212, 15492
46728, 1050, -25, -229, -1472, -48, 15384
46738, 1102, -42, -169, -1332, 160, 15088
46748, 1111, -123, -125, -1412, 88, 15132
46758, 1098, -197, -18, -1316, 64, 15136
46768, 1010, -258, 92, -1360, 140, 15072
46778, 883, -228, 239, -1304, 152, 14684
46788, 665, -437, 260, -1232, 320, 14772
46798, 420, -550, 217, -796, 236, 14740
46808, 118, -699, 169, -924, 192, 15068
46818, -86, -988, 108, -1140, 172, 15164
46828, -141, -822, 74, -1016, -252, 14956
46838, -159, -671, -25, -1212, 224, 15192
46848, -106, -624, -8, -1244, 248, 15000
46858, -11, -536, 8, -1140, 216, 15132
46868, 116, -330, 68, -1164, 268, 15240
46878, 246, -264, 35, -1120, 356, 15272
46888, 387, -139, -16, -784, 456, 15300
46898, 523, -285, 73, -1176, 472, 15820
46908, 637, -559, 153, -1152, 400, 15752
46918, 854, -572, 159, -1136, 312, 15704
46928, 965, -492, 235, -980, 432, 15496
46938, 1114, -404, 410, -904, 416, 15328
46948, 1119, -431, 354, -896, 300, 15116
46958, 1159, -403, 231, -728, 544, 14800
46968, 1125, -500, 199, -868, 664, 15244
46978, 1076, -784, 234, -1036, 764, 15408
46988, 923, -956, 213, -988, 732, 15236
46998, 736, -1271, 23, -1140, 840, 15156
47008, 615, -1423, -211, -720, 632, 14804
47018, 653, -1193, -145, -736, 832, 14784
47028, 691, -949, -35, -864, 796, 15024
47038, 748, -613, 91, -708, 692, 14988
47048, 767, -481, 221, -740, 880, 15124
47058, 587, -246, 352, -528, 892, 15244
47068, 477, -244, 431, -424, 740, 15184
47078, 123, -704, 397, -508, 1056, 15876
47088, -460, -994, 492, -576, 1504, 15984
47098, -860, -989, 543, -480, 1040, 15844
47108, -1099, -918, 390, -968, 584, 16092
47118, -1090, -549, 272, -1028, 368, 15984
47128, -824, -232, 274, -836, 328, 15236
47138, -442, 52, 381, -640, 412, 14876
47148, -85, 150, 433, -484, 572, 14960
47158, 153, 289, 370, -612, 348, 15308
47168, 90, 388, 137, -904, 420, 15948
47178, -206, 390, -97, -768, 824, 16592
47188, -656, 533, -294, -688, 792, 16928
47198, -1152, 527, -492, -804, 600, 17036
47208, -1519, 513, -722, -532, 608, 16644
47218, -1656, 442, -834, -388, 512, 16208
47228, -1534, 482, -968, -436, 224, 16104
47238, -1210, 562, -1024, -508, 320, 15464
47248, -657, 841, -988, -512, 396, 15300
47258, -94, 957, -1092, -416, 400, 15208
47268, 376, 1018, -1275, -652, 456, 15260
47278, 740, 905, -1444, -544, 520, 15404
47288, 740, 910, -1564, -1076, 412, 16208
47298, 401, 964, -1666, -896, 1360, 16760
47308, 15, 793, -1448, -908, 1064, 16560
47318, -342, 1606, -1170, -444, 1112, 16380
47328, -838, 2214, -976, -580, 980, 16664
47338, -1198, 2474, -853, -832, 708, 16860
47348, -1612, 2569, -1020, -848, 456, 16864
47358, -2054, 2323, -1409, -1436, 72, 16808
47368, -2581, 1627, -1964, -1392, -340, 16780
47378, -2943, 517, -2427, -1552, -556, 16324
47388, -3124, -140, -2503, -560, 112, 16300
47398, -3728, 44, -2575, -836, 488, 16792
47408, -4181, -373, -2625, -1308, 216, 16200
47418, -4127, -970, -2883, -1156, -688, 15364
47428, -3947, -1656, -3340, -920, -880, 15744
47438, -3863, -2635, -3784, -916, -736, 15944
47448, -3741, -3712, -3976, -968, -196, 15612
47458, -3354, -4406, -3760, -496, 68, 15228
47468, -2868, -4411, -3297, -240, 436, 14484
47478, -2374, -3141, -2510, -276, 948, 14796
47488, -1977, -2281, -1787, -4, 536, 14464
47498, -1752, -1906, -1199, 80, -128, 15080
47508, -1841, -1692, -850, 264, -156, 15212
47518, -2130, -1088, -510, 704, -232, 15400
47528, -2547, -823, -104, 456, 0, 15676
47538, -3031, -760, 212, 192, -336, 15852
47548, -3526, -736, 342, -228, -448, 15708
47558, -4037, -756, 335, -200, -464, 15220
47568, -4568, -541, 304, -44, -628, 15272
47578, -5147, 263, 253, 120, -848, 15284
47588, -5760, 720, 146, -232, -1280, 15376
47598, -6359, 777, -27, -212, -1500, 15096
47608, -7199, 867, -174, -196, -1508, 15128
47618, -8013, 921, -240, -300, -1832, 15316
47628, -8733, 915, -234, -564, -1852, 15244
47638, -9395, 744, -352, -396, -2016, 14688
47648, -9934, 367, -521, -196, -2140, 13856
47658, -10262, -211, -545, -288, -1908, 13880
47668, -10470, -773, -302, -200, -1952, 14004
47678, -10564, -770, -115, -400, -2152, 14292
47688, -10596, -506, -49, -540, -2380, 14016
47698, -10678, -538, 9, -656, -2516, 14316
47708, -10958, -297, 140, -508, -2884, 14276
47718, -11397, 23, 17, -700, -2676, 13944
47728, -11673, -88, -63, -500, -3160, 13452
47738, -11810, -192, -137, -696, -3116, 13388
47748, -11838, 42, -216, -880, -3440, 13536
47758, -11769, 170, -307, -936, -3676, 13616
47768, -11577, 173, -390, -880, -4064, 13480
47778, -11277, 85, -520, -852, -4428, 13652
47788, -10968, -168, -629, -684, -4744, 13348
47798, -10736, -114, -719, -480, -4912, 13584
47808, -10609, -79, -747, -576, -5096, 13588
47818, -10691, -405, -742, -388, -5448, 13788
47828, -10824, -458, -743, -140, -5540, 13500
47838, -10803, -286, -705, -44, -5768, 13272
47848, -10672, -147, -563, -184, -5952, 13668
47858, -10299, 13, -364, -396, -6364, 13432
47868, -9902, 304, -261, -572, -6336, 13420
47878, -9453, 587, -223, -512, -6608, 13356
47888, -8993, 675, -192, -556, -6576, 13132
47898, -8590, 411, -241, -536, -6780, 12984
47908, -8344, -103, -219, -600, -6704, 12704
47918, -7987, -478, -171, -560, -6808, 12368
47928, -7539, -370, -137, -600, -7260, 12500
47938, -7016, 73, 53, -568, -7288, 12832
47948, -6540, 397, 351, -620, -7576, 13036
47958, -6214, 527, 524, -464, -7676, 12972
47968, -6026, 563, 554, -344, -7868, 12864
47978, -5949, 390, 527, -316, -8168, 12768
47988, -5889, 348, 448, -360, -8308, 12644
47998, -5748, 349, 332, -424, -8356, 12368
48008, -5464, 445, 231, -536, -8372, 12336
48018, -5017, 535, 261, -768, -8596, 12440
48028, -4527, 811, 271, -608, -8660, 12356
48038, -4130, 946, 258, -488, -8728, 12356
48048, -3822, 770, 257, -500, -9136, 12812
48058, -3659, 504, 167, -584, -9368, 12716
48068, -3568, 108, -64, -664, -9472, 12404
48078, -3521, -257, -358, -532, -9400, 12028
48088, -3444, -324, -512, -508, -9312, 12152
48098, -3330, -382, -462, -636, -9240, 12304
48108, -3096, -311, -233, -396, -9176, 12304
48118, -2902, -217, -111, -284, -9200, 12196
48128, -2773, -202, -64, -312, -9440, 12132
48138, -2700, -276, -10, -388, -9588, 12212
48148, -2624, -123, 37, -344, -9512, 12296
48158, -2437, 15, 106, -424, -9544, 12256
48168, -2271, 114, 219, -440, -9400, 12040
48178, -2093, 202, 276, -496, -9496, 12076
48188, -1972, 184, 277, -456, -9528, 11952
48198, -1845, 139, 200, -428, -9604, 11764
48208, -1612, 168, 111, -560, -9636, 12084
