Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
18378, -236, -337, 93, -2796, 212, 14252
18388, -367, 199, 167, -848, 16, 14784
18398, -377, 91, 118, -980, -224, 15260
18408, -370, 99, 126, -1064, -224, 15212
18418, -348, 138, 142, -728, -204, 15096
18428, -360, 120, 138, -848, -160, 15064
18438, -358, 121, 131, -844, -92, 15144
18448, -374, 123, 124, -1012, -180, 15132
18458, -369, 128, 143, -884, -168, 15188
18468, -372, 142, 118, -732, -192, 15128
18478, -352, 127, 143, -728, -96, 15156
18488, -345, 107, 111, -1036, -148, 15260
18498, -333, 125, 122, -864, -204, 15104
18508, -353, 138, 128, -860, -280, 15060
18518, -346, 99, 115, -892, -112, 15216
18528, -361, 100, 119, -844, -192, 15132
18538, -343, 119, 153, -864, -236, 15232
18548, -376, 148, 117, -864, -156, 15136
18558, -379, 123, 113, -848, -164, 15136
18568, -350, 137, 131, -880, -208, 15268
18578, -338, 112, 105, -944, -220, 15200
18588, -358, 150, 139, -924, -252, 15056
18598, -357, 111, 124, -864, -148, 15200
18608, -344, 142, 103, -812, -276, 15192
18618, -357, 119, 127, -1004, -272, 15104
18628, -338, 143, 128, -904, -284, 15036
18638, -346, 122, 146, -828, -252, 15084
18648, -363, 134, 140, -760, -80, 15040
18658, -345, 142, 153, -848, -180, 15128
18668, -360, 124, 140, -908, -168, 15156
18678, -363, 103, 142, -840, -192, 15056
18688, -353, 124, 125, -856, -260, 15220
18698, -337, 128, 138, -904, -136, 15172
18708, -346, 123, 135, -944, -200, 14936
18718, -358, 124, 150, -916, -88, 15164
18728, -357, 139, 123, -836, -244, 15256
18738, -358, 139, 118, -892, -224, 15100
18748, -355, 118, 110, -796, -164, 15236
18758, -345, 117, 126, -780, -172, 14972
18768, -347, 125, 140, -864, -92, 15048
18778, -340, 121, 116, -860, -252, 14988
18788, -333, 118, 134, -816, -196, 15044
18798, -356, 111, 135, -756, -248, 15080
18808, -332, 128, 138, -908, -124, 15272
18818, -371, 143, 138, -840, -180, 15076
18828, -332, 108, 121, -868, -108, 15168
18838, -342, 123, 119, -872, -200, 15124
18848, -353, 109, 128, -840, -212, 15016
18858, -355, 126, 144, -864, -172, 15176
18868, -344, 156, 124, -916, -132, 15068
18878, -355, 117, 122, -876, -208, 15068
18888, -366, 97, 108, -860, -252, 15176
18898, -344, 134, 119, -892, -220, 15188
18908, -347, 105, 142, -880, -240, 15204
18918, -350, 104, 130, -740, -192, 14992
18928, -360, 137, 115, -904, -236, 15164
18938, -361, 114, 107, -872, -252, 15188
18948, -353, 98, 132, -924, -188, 15276
18958, -336, 139, 139, -816, -236, 15096
18968, -356, 128, 164, -776, -132, 15052
18978, -369, 106, 128, -976, -156, 15164
18988, -347, 115, 124, -896, -216, 15080
18998, -346, 131, 128, -764, -204, 15100
19008, -333, 118, 122, -936, -108, 15064
19018, -359, 139, 123, -896, -244, 15124
19028, -351, 119, 123, -848, -192, 15096
19038, -357, 121, 134, -860, -164, 14972
19048, -354, 108, 139, -872, -176, 15072
19058, -360, 122, 118, -876, -160, 15160
19068, -362, 120, 119, -944, -148, 15008
19078, -375, 120, 124, -932, -268, 15000
19088, -350, 110, 131, -876, -268, 15244
19098, -354, 98, 125, -892, -240, 15156
19108, -345, 107, 107, -856, -204, 15108
19118, -360, 95, 128, -968, -208, 14972
19128, -348, 120, 154, -788, -176, 15240
19138, -356, 146, 137, -848, -152, 15224
19148, -336, 145, 122, -796, -176, 15080
19158, -359, 108, 144, -828, -280, 15148
19168, -351, 120, 126, -816, -232, 15172
19178, -347, 103, 125, -864, -256, 15020
19188, -346, 145, 135, -852, -124, 15040
19198, -355, 137, 154, -868, -192, 15116
19208, -335, 116, 131, -820, -204, 15256
19218, -357, 98, 136, -872, -216, 15140
19228, -344, 95, 141, -612, -168, 15124
19238, -356, 153, 138, -844, -260, 15112
19248, -347, 85, 136, -1072, -260, 15100
19258, -358, 135, 152, -868, -80, 14940
19268, -384, 190, 142, -808, -216, 15160
19278, -355, 141, 143, -824, -188, 15356
19288, -357, 75, 144, -900, -168, 15144
19298, -375, 150, 149, -716, -204, 15152
19308, -331, 161, 134, -728, -268, 15016
19318, -376, 131, 133, -760, -260, 15000
19328, -369, 107, 129, -872, -224, 15148
19338, -371, 104, 144, -1024, -204, 15128
19348, -356, 120, 155, -800, -172, 15152
19358, -383, 154, 147, -792, -204, 15084
19368, -369, 134, 212, -808, -252, 15060
19378, -379, 137, 216, -664, -204, 15192
19388, -376, 166, 272, -744, -88, 15068
19398, -381, 172, 292, -840, -144, 15188
19408, -345, 124, 329, -948, -148, 15228
19418, -358, 98, 319, -928, -168, 15044
19428, -371, 124, 309, -900, -64, 15264
19438, -379, 106, 336, -848, -28, 15184
19448, -390, 99, 325, -840, -168, 15156
19458, -380, 114, 407, -848, -136, 15008
19468, -389, 144, 393, -740, -132, 15276
19478, -368, 121, 354, -856, -408, 15216
19488, -370, 86, 349, -888, -212, 15180
