Timestamp_ms,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
49548, -342, 128, 139, -856, -224, 15136
49558, -336, 140, 127, -828, -200, 15128
49568, -333, 123, 145, -876, -220, 15276
49578, -337, 132, 139, -980, -232, 15088
49588, -353, 129, 119, -828, -136, 15188
49598, -360, 128, 123, -876, -172, 15060
49608, -330, 130, 136, -896, -160, 15132
49618, -353, 135, 133, -868, -252, 15224
49628, -343, 92, 128, -752, -224, 15272
49638, -324, 128, 143, -920, -292, 15084
49648, -345, 117, 135, -924, -160, 15160
49658, -349, 122, 111, -892, -224, 15328
49668, -365, 128, 117, -852, -180, 15064
49678, -357, 136, 126, -872, -256, 15152
49688, -344, 133, 122, -920, -224, 15040
49698, -333, 118, 145, -784, -268, 15128
49708, -356, 113, 127, -880, -180, 15204
49718, -342, 128, 117, -860, -180, 15120
49728, -356, 134, 107, -920, -132, 15104
49738, -342, 130, 114, -852, -144, 15176
49748, -360, 134, 139, -812, -292, 15240
49758, -368, 121, 138, -836, -264, 15236
49768, -340, 125, 141, -812, -212, 15124
49778, -341, 114, 122, -948, -192, 15260
49788, -346, 122, 145, -892, -200, 15244
49798, -353, 154, 137, -792, -152, 15160
49808, -364, 132, 124, -804, -208, 15192
49818, -354, 129, 141, -876, -148, 15320
49828, -349, 128, 130, -828, -176, 15260
49838, -371, 107, 131, -792, -232, 15120
49848, -356, 125, 142, -932, -324, 15152
49858, -345, 122, 129, -884, -288, 15204
49868, -349, 138, 148, -768, -136, 15248
49878, -323, 116, 114, -820, -220, 15160
49888, -337, 126, 116, -936, -132, 15092
49898, -334, 130, 123, -848, -232, 15164
49908, -333, 115, 134, -884, -164, 15112
49918, -342, 117, 126, -872, -272, 15096
49928, -359, 125, 130, -920, -236, 15108
49938, -346, 135, 128, -828, -168, 15148
49948, -345, 115, 145, -944, -68, 15236
49958, -343, 139, 139, -844, -252, 15168
49968, -332, 131, 111, -804, -16, 15204
49978, -338, 122, 124, -772, -264, 15128
49988, -326, 143, 139, -908, -240, 15088
49998, -340, 132, 130, -792, -284, 15208
50008, -332, 119, 134, -840, -92, 15324
50018, -357, 134, 148, -904, -164, 15208
50028, -342, 104, 119, -884, -236, 15144
50038, -343, 127, 144, -896, -200, 15236
50048, -332, 134, 132, -856, -116, 15192
50058, -350, 144, 131, -944, -220, 15108
50068, -355, 110, 135, -860, -132, 15076
50078, -334, 123, 119, -792, -296, 15212
50088, -354, 121, 130, -772, -256, 15104
50098, -359, 125, 137, -760, -284, 15288
50108, -341, 128, 120, -812, -204, 15172
50118, -325, 145, 137, -864, -252, 15204
50128, -349, 110, 130, -880, -156, 15240
50138, -349, 147, 132, -776, -264, 15188
50148, -350, 89, 125, -896, -260, 15180
50158, -353, 123, 148, -816, -228, 15148
50168, -339, 141, 136, -848, -80, 15092
50178, -348, 111, 133, -904, -172, 15132
50188, -352, 132, 129, -948, -104, 15104
50198, -339, 139, 147, -936, -212, 15100
50208, -369, 119, 114, -832, -220, 15124
50218, -333, 115, 129, -912, -240, 15260
50228, -356, 136, 142, -968, -228, 15204
50238, -340, 118, 138, -868, -212, 15196
50248, -344, 101, 136, -756, -204, 15200
50258, -349, 138, 123, -868, -248, 15200
50268, -332, 127, 109, -896, -280, 15248
50278, -333, 122, 136, -812, -164, 15176
50288, -343, 147, 133, -836, -224, 14992
50298, -326, 129, 118, -780, -192, 15224
50308, -330, 110, 123, -780, -220, 15228
50318, -337, 116, 116, -780, -256, 15244
50328, -330, 136, 121, -820, -152, 15152
50338, -352, 113, 125, -840, -320, 15188
50348, -344, 125, 130, -980, -216, 15136
50358, -356, 118, 123, -844, -192, 15136
50368, -350, 124, 132, -892, -180, 15136
50378, -350, 125, 116, -856, -240, 15084
50388, -359, 116, 102, -888, -156, 15084
50398, -333, 117, 125, -880, -196, 15204
50408, -332, 130, 106, -808, -208, 15108
50418, -348, 128, 144, -872, -228, 15188
50428, -362, 119, 125, -956, -288, 15112
50438, -350, 106, 146, -868, -304, 15276
50448, -355, 141, 146, -904, -120, 15236
50458, -345, 124, 153, -884, -268, 15068
50468, -341, 132, 126, -880, -184, 15148
50478, -337, 129, 132, -772, -164, 15216
50488, -342, 105, 123, -880, -248, 15216
50498, -341, 130, 149, -864, -284, 15232
50508, -339, 117, 129, -944, -232, 15108
50518, -344, 110, 112, -916, -176, 15076
50528, -351, 125, 112, -936, -136, 15260
50538, -353, 143, 135, -912, -212, 15128
50548, -342, 127, 109, -872, -208, 15196
50558, -346, 126, 163, -804, -168, 15168
50568, -340, 130, 126, -768, -268, 15204
50578, -350, 103, 121, -896, -224, 15280
50588, -347, 125, 131, -788, -176, 15276
50598, -357, 117, 132, -764, -160, 15208
50608, -333, 122, 123, -756, -232, 15164
50618, -328, 122, 129, -868, -260, 15140
50628, -336, 139, 120, -948, -148, 15180
50638, -364, 117, 150, -804, -80, 15164
50648, -339, 139, 126, -876, -96, 15136
50658, -338, 124, 144, -856, -192, 15284
50668, -324, 130, 139, -904, -208, 15300
50678, -352, 145, 147, -912, -228, 15196
50688, -323, 141, 129, -1000, -248, 15172
50698, -342, 129, 141, -888, -136, 15176
50708, -342, 103, 142, -856, -152, 15148
50718, -333, 133, 129, -828, -200, 15144
50728, -338, 125, 117, -900, -216, 15232
50738, -348, 120, 115, -844, -228, 15180
50748, -340, 129, 144, -784, -204, 15084
50758, -340, 131, 123, -808, -260, 15208
50768, -357, 108, 127, -956, -180, 15108
50778, -344, 119, 117, -820, -288, 15196
50788, -355, 115, 108, -960, -232, 15228
50798, -329, 112, 115, -932, -216, 15148
50808, -341, 144, 151, -824, -184, 15168
50818, -349, 129, 114, -924, -232, 15348
50828, -328, 135, 118, -856, -168, 15228
50838, -352, 119, 128, -880, -144, 15184
50848, -338, 136, 128, -972, -156, 15124
50858, -330, 126, 113, -892, -200, 15180
50868, -352, 134, 145, -808, -188, 15260
50878, -340, 135, 112, -880, -208, 15144
50888, -343, 139, 136, -864, -284, 15152
50898, -342, 122, 139, -892, -212, 15376
50908, -337, 121, 122, -828, -200, 15248
50918, -345, 141, 122, -948, -148, 15308
50928, -349, 127, 122, -796, -208, 15276
50938, -339, 118, 132, -904, -204, 15380
50948, -336, 124, 125, -904, -192, 15100
50958, -336, 120, 122, -924, -216, 15240
50968, -345, 113, 146, -868, -204, 15076
50978, -348, 117, 126, -912, -276, 15232
50988, -348, 115, 123, -828, -96, 15220
50998, -349, 133, 126, -816, -160, 15240
51008, -363, 121, 140, -888, -216, 15200
51018, -358, 123, 147, -872, -240, 15144
51028, -366, 149, 107, -932, -328, 15236
51038, -341, 117, 115, -896, -224, 15232
51048, -358, 116, 129, -976, -148, 15172
51058, -334, 137, 131, -836, -140, 15172
51068, -335, 150, 121, -952, -236, 15276
51078, -361, 140, 133, -904, -212, 15296
51088, -349, 121, 123, -940, -216, 15160
51098, -345, 116, 122, -784, -264, 15212
51108, -338, 124, 135, -908, -248, 15220
51118, -339, 118, 125, -748, -196, 15236
51128, -344, 124, 106, -900, -296, 15164
51138, -337, 139, 132, -884, -220, 15096
51148, -341, 136, 131, -820, -324, 15188
51158, -351, 117, 122, -812, -164, 15104
51168, -338, 131, 150, -844, -188, 15172
51178, -354, 130, 125, -924, -208, 15136
51188, -358, 112, 129, -856, -264, 15104
51198, -364, 123, 139, -764, -88, 15248
51208, -331, 133, 144, -960, -148, 15180
51218, -336, 142, 130, -860, -164, 15056
51228, -341, 139, 121, -896, -152, 15156
51238, -337, 122, 134, -844, -276, 15136
51248, -328, 137, 119, -868, -304, 15136
51258, -335, 141, 124, -808, -252, 15208
51268, -329, 131, 143, -904, -164, 15120
51278, -330, 116, 127, -788, -144, 15184
51288, -347, 124, 110, -880, -164, 15228
51298, -334, 110, 135, -864, -288, 15248
51308, -342, 120, 117, -876, -132, 15240
51318, -357, 138, 136, -860, -264, 15164
51328, -345, 141, 141, -904, -224, 15124
51338, -349, 142, 128, -852, -168, 15232
51348, -344, 115, 140, -844, -260, 15144
51358, -344, 129, 111, -792, -164, 15188
51368, -340, 128, 140, -888, -232, 15256
51378, -348, 118, 138, -956, -204, 15120
51388, -339, 148, 130, -860, -164, 15200
51398, -361, 117, 128, -896, -216, 15100
51408, -338, 129, 132, -820, -244, 15204
51418, -341, 134, 135, -928, -196, 15064
51428, -348, 109, 131, -852, -156, 15336
51438, -341, 123, 127, -792, -184, 15248
51448, -349, 115, 126, -856, -268, 15148
51458, -354, 127, 115, -828, -280, 15212
51468, -352, 137, 141, -848, -236, 15172
51478, -340, 128, 128, -824, -172, 15132
51488, -357, 115, 142, -836, -208, 15200
51498, -341, 118, 135, -860, -132, 15344
51508, -339, 143, 127, -928, -272, 15180
51518, -342, 131, 111, -848, -248, 15148
51528, -372, 136, 138, -916, -224, 15264
51538, -362, 126, 121, -896, -300, 14984
51548, -353, 120, 137, -924, -268, 15216
51558, -353, 117, 141, -896, -240, 15296
51568, -352, 121, 137, -800, -200, 15120
51578, -342, 155, 138, -852, -264, 15356
51588, -342, 136, 108, -816, -232, 15172
51598, -345, 131, 125, -868, -232, 15236
51608, -341, 107, 133, -796, -176, 15172
51618, -331, 130, 148, -848, -248, 15096
51628, -346, 112, 131, -852, -248, 15108
51638, -345, 147, 133, -840, -220, 15268
51648, -346, 122, 109, -824, -240, 15244
51658, -351, 131, 139, -1000, -148, 15252
51668, -349, 117, 122, -928, -304, 15220
51678, -331, 113, 123, -872, -192, 15228
51688, -349, 141, 133, -872, -216, 15336
51698, -361, 114, 115, -904, -148, 15268
51708, -356, 129, 131, -852, -216, 15112
51718, -345, 124, 140, -912, -128, 15256
51728, -340, 146, 130, -804, -260, 15348
51738, -340, 143, 122, -892, -228, 15252
51748, -357, 133, 117, -880, -276, 15212
51758, -348, 131, 118, -856, -328, 15104
51768, -352, 119, 132, -908, -96, 15220
51778, -343, 132, 134, -908, -164, 15316
51788, -334, 115, 129, -864, -212, 15212
51798, -329, 125, 128, -1004, -248, 15128
51808, -348, 124, 124, -1008, -204, 15308
51818, -332, 127, 121, -908, -184, 15140
51828, -346, 136, 121, -796, -292, 15132
51838, -327, 117, 122, -888, -196, 15188
51848, -341, 133, 136, -844, -292, 15200
51858, -344, 145, 146, -868, -264, 15244
51868, -350, 115, 119, -900, -196, 15060
51878, -346, 125, 131, -960, -300, 15304
51888, -364, 128, 127, -864, -152, 15200
51898, -341, 97, 138, -900, -212, 15176
51908, -329, 137, 102, -884, -248, 15148
51918, -348, 143, 105, -960, -172, 15240
51928, -349, 119, 124, -784, -240, 15180
51938, -331, 119, 128, -840, -152, 15164
51948, -337, 131, 120, -860, -204, 15216
51958, -352, 114, 121, -876, -272, 14952
51968, -344, 127, 124, -824, -140, 15220
51978, -347, 129, 121, -852, -184, 15228
51988, -367, 111, 134, -860, -152, 15336
51998, -337, 125, 136, -860, -208, 15316
52008, -337, 122, 128, -968, -200, 15212
52018, -367, 119, 122, -832, -220, 15060
52028, -358, 127, 126, -860, -240, 15196
52038, -344, 115, 148, -936, -152, 15208
52048, -343, 130, 111, -880, -204, 15192
52058, -346, 137, 122, -816, -264, 15256
52068, -331, 124, 133, -860, -160, 15140
52078, -334, 129, 132, -896, -160, 15156
52088, -345, 128, 146, -856, -232, 15140
52098, -354, 125, 151, -940, -200, 15072
52108, -357, 109, 137, -832, -260, 15148
52118, -335, 144, 132, -796, -164, 15144
52128, -368, 127, 131, -824, -152, 15148
52138, -333, 115, 131, -868, -168, 15252
52148, -342, 135, 132, -952, -116, 15084
52158, -326, 110, 130, -748, -192, 15076
52168, -362, 135, 141, -952, -212, 15076
52178, -340, 100, 106, -828, -180, 15064
52188, -347, 115, 128, -892, -172, 15248
52198, -353, 133, 111, -904, -204, 15144
52208, -311, 124, 131, -872, -212, 15132
52218, -345, 132, 119, -804, -196, 15216
52228, -329, 140, 132, -936, -192, 15284
52238, -329, 133, 117, -884, -172, 15296
52248, -346, 136, 120, -908, -164, 15136
52258, -345, 135, 124, -916, -180, 15120
52268, -353, 129, 125, -864, -108, 15116
52278, -345, 130, 114, -952, -192, 15264
52288, -316, 119, 122, -896, -208, 15236
52298, -342, 137, 133, -924, -164, 15236
52308, -356, 142, 133, -804, -160, 15140
52318, -351, 143, 146, -844, -208, 15108
52328, -346, 121, 135, -844, -196, 15284
52338, -337, 139, 127, -848, -196, 15204
52348, -344, 115, 113, -1008, -232, 15304
52358, -364, 135, 115, -952, -148, 15108
52368, -330, 125, 137, -864, -100, 15180
52378, -363, 133, 120, -980, -220, 15092
52388, -349, 118, 128, -880, -256, 15252
52398, -355, 127, 127, -880, -248, 15152
52408, -344, 146, 135, -908, -176, 15284
52418, -344, 149, 129, -860, -188, 15184
52428, -340, 138, 144, -884, -224, 15216
52438, -359, 139, 136, -860, -192, 15184
52448, -344, 121, 138, -912, -224, 15184
52458, -339, 124, 143, -880, -188, 15036
52468, -361, 131, 121, -816, -288, 15180
52478, -343, 135, 125, -860, -192, 15268
52488, -328, 128, 102, -908, -244, 15268
52498, -325, 119, 122, -796, -180, 14972
52508, -358, 128, 142, -844, -128, 15080
52518, -336, 125, 135, -876, -188, 15088
52528, -348, 132, 130, -852, -196, 15268
52538, -345, 104, 146, -912, -236, 15156
52548, -334, 133, 131, -856, -192, 15120
52558, -334, 133, 125, -836, -160, 15260
52568, -338, 128, 115, -832, -156, 15092
52578, -357, 103, 148, -852, -156, 15128
52588, -343, 138, 133, -904, -200, 15096
